,volume_bcm,tp_0,tp_1,tp_2,tp_3,tp_4,tp_5,tp_6,tp_7,tp_8,tp_9,tp_10,tp_11,tp_12,tp_13,tp_14,t2m_0,t2m_1,t2m_2,t2m_3,t2m_4,t2m_5,t2m_6,t2m_7,t2m_8,t2m_9,t2m_10,t2m_11,t2m_12,t2m_13,t2m_14,yrmnth,set
2010-01-01,1.1607448285663067,-0.24082290435553227,-0.3885217993605508,-0.5365275255531627,-0.6126746146712778,-0.6593762005308306,-0.6930060698746684,-0.7145992149904719,-0.7303746112698781,-0.74705882872916,-0.7182972576354855,-0.7294378940965084,-0.7504219428736356,-0.7566274420326332,-0.756888177947871,-0.7665744776976422,0.038408580825881805,-0.42761062342949013,-1.292561121182304,-1.3539262707899526,-0.923317082697392,-0.94283836990954,-1.0495262580828788,-0.8590035060171223,-0.33438567894433074,-0.6456500428927779,0.021886001494928177,0.4409953621770189,-0.03829864838715918,-0.08493163520624028,0.1580570371503751,2010-01,
2010-01-02,1.1764957525429012,-0.6867776202532208,-0.709844232093405,-0.7427123391648044,-0.7660899964796996,-0.7800391617075302,-0.7941924122811068,-0.799365072579038,-0.745048331095219,-0.5874750804546556,-0.4192579771099487,-0.45455689854502845,-0.4788194287875681,-0.48863762473876615,-0.5233087184149386,-0.5561819426780416,-0.24515276447518075,-1.2358026797518018,-1.2107519238566955,-0.7298463225804789,-0.6632602916981593,-0.9023465769454473,-0.07154807522208431,-1.1280542366634911,-0.47341241832427494,-0.6448038881638853,-0.7075752105977501,-0.41576535736840586,0.0176047425050546,-0.06884906108551933,0.014833660306895983,2010-01,
2010-01-03,1.1896215225233964,-0.6904341973908965,-0.7115798211981953,-0.7434809615297255,-0.7655222485836953,-0.7799333710079445,-0.7911284491257359,-0.780721482412333,-0.7341560991565291,-0.7081408349925985,-0.6112262192448509,-0.5042555162554925,-0.4476285593537132,-0.4699140297643756,-0.5049051883523575,-0.5392158135686184,-0.6971645246920898,-1.0565686565868868,-0.8317948721633186,-0.8719715070216193,-0.8676873153578933,-0.05187479071806035,0.1237938986196355,0.15014138003759228,0.05095382891658247,-0.44080941852580835,-0.7309823830624187,-0.5365673005337186,0.24673287571690694,0.32765763393312997,0.22675436298131452,2010-01,
2010-01-04,1.1974969845116938,-0.6904341973908965,-0.7102484122723901,-0.7366838490420816,-0.7600135176011933,-0.7752209483397168,-0.790998770696759,-0.7978065052326252,-0.8017039248150062,-0.726232688850111,-0.6233363273581296,-0.6281761430938458,-0.6593941706424278,-0.683236477834153,-0.7048457059121809,-0.7251450406661956,-0.6435385210100045,-0.49469181910550336,-0.591749518078806,-1.2795836226884811,-1.2208018878121518,-0.10958711199507752,0.14590802587981486,0.4867266949765851,-0.27296310258426076,0.11576536409018942,0.13966183383148603,0.3725823917870029,0.3765449995609974,-0.43403026976334075,-0.27953162873215415,2010-01,
2010-01-05,1.202747292503892,-0.6904341973908965,-0.711059508559463,-0.7286607025057089,-0.7547231219257698,-0.7677486690192109,-0.6833655398226481,-0.6310212149242919,-0.6424461928449681,-0.6214897252404056,-0.5839186517028325,-0.5703521967485782,-0.582746493034881,-0.6110344524259478,-0.6376098897931977,-0.6621537513838636,-0.16174048778133515,-0.5534611093148946,-0.4015381541450338,-0.2958400730622631,-0.018575833800380616,-0.13725771021490046,0.31329202563211006,0.45330299131055635,0.012501394849064328,-0.055598894944498926,-0.2890427011570109,0.4684018892559013,0.2628304796549557,0.23186498292019472,0.4189886251135763,2010-01,
2010-01-06,1.2079976004960902,-0.6904341973908965,-0.7079587131362765,-0.7392503363886324,-0.6987540352235202,-0.6729653112685745,-0.6943433553202282,-0.6977769140029715,-0.6946425977691321,-0.6916093160268817,-0.6898589425960302,-0.6979498922070866,-0.7175881276385612,-0.7366890911582656,-0.754270040243743,-0.7710725192816797,-0.22851935437821885,-0.8449468886890127,-0.49522450641109966,-0.9583010565576734,0.07934860635762868,0.35142106828406816,0.6030845385271267,0.4872243415936002,0.33046867489577847,0.27965224237601877,0.4856914833539834,0.49351823269655426,0.0005024650933050245,-0.5065734762711938,-0.2474818296664611,2010-01,
2010-01-07,1.2158730624843872,-0.690201276599088,-0.6931385401490292,-0.7250780609276942,-0.7172498567338103,-0.7120644338752107,-0.7091214592424477,-0.724871407568837,-0.7365280844479722,-0.750635888570382,-0.7678862078477146,-0.7853065360176013,-0.80520289374505,-0.8130161466278657,-0.8201174126821551,-0.8292281638472345,-0.25088608423225894,-0.049029702884404155,0.0961464870661036,0.22326941035405937,0.5623797934747881,0.7001780793366325,0.7168747914934843,0.8488905143109943,1.0155304360169302,0.7204523714315316,0.28225453261407135,0.09092147917557579,-0.03457440036638799,-0.08299423165295176,-0.05625516831675252,2010-01,
2010-01-08,1.2237485244726847,-0.6864804302129353,-0.6965182635057507,-0.6877941385705195,-0.6674728694348512,-0.6617390728318308,-0.6734925761439121,-0.6767627468504437,-0.6930471899414742,-0.7143962872968845,-0.7350323286002579,-0.7474476552339481,-0.7626693835994138,-0.7756565592057894,-0.7901221613919182,-0.8049920457105595,-0.1340039434783472,-0.2899312577841366,0.03408479981328282,0.06594984172792946,-0.010126463696912431,0.0801944310464282,0.5957911969367595,0.14523747813579224,-0.5595639711269539,-0.08259204352566639,0.49890144944786313,0.5121320254738452,-0.24861679627664524,-0.7586392153307914,-0.739128560472044,2010-01,
2010-01-09,1.2263736784687835,-0.5766391553653518,-0.5889628535504129,-0.4801556714753861,-0.49698606627256847,-0.5341780724418781,-0.5538190234022106,-0.5672317416755315,-0.5955538629194977,-0.6269489906530988,-0.6563101525837849,-0.6698351474114351,-0.6953259178070771,-0.717586184839074,-0.7367491911108374,-0.7553843319613538,-0.029261580327858566,-0.014021564819102007,-0.31096503976116724,-0.3682070964387778,0.20346347948429788,0.13112988600568268,0.44771344226405285,0.16962360103943694,-0.04326569527007478,-0.3162480505799956,-0.45274191010469284,-0.5173006908173597,-0.2193475679869442,-0.9820606140753839,-1.2375453271705708,2010-01,
2010-01-10,1.2289988324648828,-0.36882617748953295,-0.45871761898659535,-0.4660457270323995,-0.41233801036860546,-0.41027767206225824,-0.42664993466566997,-0.4819443565274657,-0.5266232420843227,-0.5666702361281605,-0.6019039524207944,-0.6460313843567885,-0.6806699775586053,-0.7019266582261515,-0.7216084639182244,-0.739086870040832,0.06967665562767208,-0.06306941834851847,-0.4707565198455732,-0.43119935152362565,-0.40841059513875944,-0.051744826521857606,0.19814864139483887,-0.03951460896110628,-0.1953820961853532,-0.22664540718353002,-0.0036617177378843783,0.07773813857991098,0.36059939964180043,0.4243463372635474,0.21445369287809163,2010-01,
