,volume_bcm,tp_0,tp_1,tp_2,tp_3,tp_4,tp_5,tp_6,tp_7,tp_8,tp_9,tp_10,tp_11,tp_12,tp_13,tp_14,t2m_0,t2m_1,t2m_2,t2m_3,t2m_4,t2m_5,t2m_6,t2m_7,t2m_8,t2m_9,t2m_10,t2m_11,t2m_12,t2m_13,t2m_14,yrmnth,set
2010-01-01,-0.46223138325434376,-0.3122936712071709,-0.4136297949893306,-0.5371951935481711,-0.6021035583331712,-0.6414872526315731,-0.6709751160825153,-0.6916102725171469,-0.7044316092464814,-0.7184775642743662,-0.7113974212393547,-0.7244654948552963,-0.7409379596602995,-0.745082541220881,-0.7470554910378324,-0.7574716723388164,0.21237699670737623,-0.2179220457573881,-1.083313351743905,-1.1678704572732421,-0.7580759519892215,-0.828136695157356,-1.0148898494399292,-0.9285526492831891,-0.22227306103408498,-0.4556373284016733,0.022605030542557126,0.4648964429388117,0.018942847744270533,0.058501623047180686,0.2903249521254894,2010-01,
2010-01-02,-0.47854841646778745,-0.6546830929577332,-0.6758764999737291,-0.7039157697572686,-0.7261225775441604,-0.7400125683820228,-0.7529992277132093,-0.7608148874539588,-0.7322490734209726,-0.5830852485259543,-0.3955919678566092,-0.4277508733061843,-0.4537781370532965,-0.46835123173433774,-0.49963395035062563,-0.5303181500943458,-0.04289495401398529,-1.034381002953793,-1.1153554079646526,-0.6016477616885584,-0.5348470573497376,-0.7938550518943573,-0.01656156465329479,-1.0403350774157762,-0.411030170628351,-0.6620152000335618,-0.7539001756828361,-0.43051651902825544,0.015385378576470286,-0.03201699395869275,0.060362331917875316,2010-01,
2010-01-03,-0.4981288563239199,-0.6557664574273683,-0.6762719619237806,-0.7034125540032437,-0.7239931747378804,-0.7383158314737416,-0.7506604770267787,-0.7487615845567716,-0.7198616944505009,-0.7123070203271121,-0.6560662085541045,-0.5382611363946486,-0.4686308576595115,-0.4731353175441508,-0.5037365245417506,-0.5341593031589889,-0.4794740020736208,-0.8875131565817806,-0.6573775885959079,-0.8277845990189218,-0.8001843952262964,0.09756376145672623,0.3075315222546858,0.5010337394465122,0.3653624422548432,-0.3034409940167731,-0.7454216203625933,-0.5591460168924989,0.26892753017539894,0.37728719253805637,0.3397406953731544,2010-01,
2010-01-04,-0.5242361094654299,-0.6557664574273683,-0.6732227394926302,-0.6941297380576279,-0.7188324054090219,-0.7342228469482733,-0.7483834342726445,-0.7575620474251497,-0.7602201681231466,-0.7122218247603207,-0.6091359737959526,-0.5999288355002529,-0.6293970980879611,-0.6502237455809795,-0.6697166206430433,-0.6885583166705956,-0.4847454089461005,-0.35456088200049585,-0.41819503827006504,-1.2599575373954734,-1.1548130815165993,-0.010851621779653193,0.23031975974582558,0.6562379965234665,-0.06028102779064061,-0.054414848244170484,0.1023110291456554,0.394220271411372,0.46008567721494226,-0.20020841616877205,-0.2096746883814088,2010-01,
2010-01-05,-0.547079955964251,-0.6557664574273683,-0.6750278119968797,-0.6803790660621446,-0.7084343089901372,-0.7232198434373296,-0.6383366790658214,-0.590229264062017,-0.5954849136154233,-0.5716589373865265,-0.5173281800467379,-0.5028194975859147,-0.5101574647067562,-0.5399651313311479,-0.567658005377159,-0.593474450217484,0.1328122071239935,-0.3314879941748847,-0.15899683785368782,-0.06579745007828201,0.1240238599092401,-0.1600998029901899,0.5188618216096054,0.641859669484617,-0.022247891525822173,-0.2581002739220753,-0.4740620947025133,0.3661675880956965,0.3691340580276882,0.13351466568039852,0.4125640944034237,2010-01,
2010-01-06,-0.5699238024630722,-0.6557664574273683,-0.6762719619237806,-0.7038622423751207,-0.695864740659784,-0.6844738779911601,-0.6991198041297391,-0.6800630969671031,-0.6705763402001682,-0.6621577033921688,-0.6628245340028007,-0.6767501372143905,-0.6953563029040992,-0.7107844987893012,-0.7256333463503107,-0.7408254656972177,0.11598275777913467,-0.6570693961950096,-0.20620285541427114,-0.8206211117507412,0.19430087422959247,0.5685924096430938,0.8556106701077241,0.7602713056203723,0.4633215632145325,0.47636613002385886,0.6233459564056738,0.6640450420161429,0.13270869982426944,-0.3102660466505097,-0.1947904562516845,2010-01,
2010-01-07,-0.5927676489618934,-0.6552461513671788,-0.6574746575899134,-0.6911883231164635,-0.694694460056652,-0.6805953550323708,-0.6541297638685118,-0.6719044538321405,-0.6859290485104423,-0.6999602389685131,-0.7166155340269688,-0.7343203437076256,-0.7525354417480224,-0.7615646819630345,-0.7688167741406139,-0.7788410535090634,0.0052702940980556955,0.29870995288913366,0.467241387985705,0.4599422475437658,0.7624858357329994,0.8551983381260161,0.9632639264791877,1.0962432578446035,1.2736239402722411,1.0282950092862366,0.5312826051263241,0.33577437453344866,0.10245707240113763,-0.09065711408432868,0.15130225722453994,2010-01,
2010-01-08,-0.6188749021034032,-0.6542997410833662,-0.6719020932412814,-0.6752510165188989,-0.6682972836074109,-0.6589662739169629,-0.6669096303038574,-0.6730927045009508,-0.685943253965425,-0.7022032306555056,-0.7186721264031622,-0.7261102722360986,-0.7414889995139141,-0.7536982723374919,-0.7653040417518261,-0.7777639828697622,0.13233958727919853,0.027971517541237993,0.026239106145758008,0.269967311063831,0.024540019797593814,0.3575364142818097,0.790172534382293,0.4580496006595481,-0.2728593767628018,0.09756570052340227,0.7834690959494007,0.5919357472329962,-0.1104325962453627,-0.5740121616898243,-0.5986977260955862,2010-01,
2010-01-09,-0.6417187486022244,-0.6198151120551817,-0.61148319095747,-0.47175397501433,-0.46339799467591064,-0.5059014910997323,-0.533678947374756,-0.5534744453570735,-0.5818426705768721,-0.6096344161966023,-0.6352912319675479,-0.6304777187798792,-0.6479645147916578,-0.6681146601905953,-0.6863158050931308,-0.7042780303683761,0.31614855932405334,0.25965107126493875,-0.2818440577603922,-0.4182041256396978,0.3416494410070417,0.3217945944765591,0.6514437186090167,0.42049431225595624,0.32226045589640423,0.04816606309838017,-0.2618199984937554,-0.5210701671253947,-0.29735057839132034,-0.9885539870879467,-1.211234101421817,2010-01,
2010-01-10,-0.6645625951010455,-0.47292084554557423,-0.5101473862108952,-0.4922632646468881,-0.47577241890158506,-0.48807151220725903,-0.5009640520549662,-0.5421482909220758,-0.5745222332554534,-0.6034495534498014,-0.6297472476644557,-0.659772206868572,-0.6853140147518352,-0.7021138203368008,-0.7176316319228938,-0.733026026802539,0.24322768301676567,0.0804024876712518,-0.38679387328709197,-0.22524160148652217,-0.22854466505492663,0.06280417061600786,0.37459524189548754,0.1986642232453283,0.08327770208828429,-0.023609523302809764,0.06122938990727054,0.14453059094814874,0.4981912565609339,0.5988335103553202,0.4211632624177423,2010-01,
2010-01-11,-0.6874064415998667,-0.48010864189119346,0.04110718136840682,0.05047084610592166,-0.11260762781766663,-0.1891361540405387,-0.27483951358660846,-0.3529171582843418,-0.4113632138785847,-0.45871757656731954,-0.4993590608440764,-0.5559866561971973,-0.594965856576167,-0.6195817124053591,-0.6414900664146541,-0.662574252252287,0.3166923321133669,-0.6159156369129302,-0.04046432193987736,-0.0052382596001935835,0.03042128841967105,0.34395450908576797,-0.03988374352380629,-0.3286156856517988,-0.21421104051855389,-0.3074239699548524,-0.41953782653034244,-0.4596323446107079,-0.563035796139615,-0.6150357549535209,-0.7959531579581214,2010-01,
2010-01-12,-0.7004600681706218,0.12542980137503387,-0.14319486618379224,-0.2553471243509011,-0.2888604448333015,-0.3532899133378057,-0.42992029157782585,-0.4860206757595028,-0.5253141441551078,-0.5572364151421597,-0.5881168482967217,-0.6327952642382744,-0.6639858230657886,-0.6826847148438636,-0.699731566083016,-0.7167582897093209,-0.37916359816029827,-0.20256591882793223,0.15462681932923247,-0.037829838260595015,0.1951930041481938,0.1792427854858187,0.1828242459448899,0.05138322001167231,-0.26398730793316527,-1.0308029309661446,-1.0153302885140907,-0.7362802512690871,-0.4544246933535164,-0.23830849979465013,0.1705977673590653,2010-01,
