time,location,adjusted_level,adjusted_storage,ndwi_at,ndwi_up,ndwi_dn,ndwi_all,snow_at,snow_up,snow_dn,snow_all
2002-01-01,Hirakud,190.0,4.228,-0.12299507386468385,-0.12488470336251639,-0.063376834,-0.10838080605258792,0.0,0.0,0.0,0.0
2002-01-02,Hirakud,189.89,4.164,-0.07571448385817423,-0.07289823148748399,-0.07840155809756097,-0.07579166338091174,0.0,0.0,0.0,0.0
2002-01-03,Hirakud,189.84,4.135,-0.1028271187182063,-0.11618763337760646,-0.08253116,-0.10055971786464726,0.0020734726320154957,0.0006672374789920055,0.0,0.0012517904887464153
2002-01-04,Hirakud,189.8,4.114,-0.05562813957574474,-0.055756290740499925,-0.074337498,-0.060367928604405055,0.009733080508158012,0.02693997327329872,0.0,0.010945226298756348
2002-01-05,Hirakud,189.76,4.088,-0.12347250385812819,-0.11857194929638742,-0.087304444,-0.11331908177866264,0.0,0.0,0.0,0.0
2002-01-06,Hirakud,189.71,4.062,-0.02995428987009389,-0.057397677031407766,0.003093003,-0.02747362922005708,0.15688488552283833,0.172525902934439,0.14196130289156628,0.15645624273800854
2002-01-07,Hirakud,189.67,4.038,-0.12189365437505548,-0.11671095936873857,-0.062600288,-0.10585536912835988,0.0,0.0,0.009574404,0.0024115956366352756
2002-01-08,Hirakud,189.62,4.008,-0.09067372929371584,-0.10379699515244434,0.003328831,-0.06979063474519692,0.0,0.0,0.121674113,0.030647208954444314
2002-01-09,Hirakud,189.52,3.953,-0.11481094878248313,-0.1105932733006127,-0.07856168,-0.10478247113878753,0.0,0.0,0.0,0.0
2002-01-10,Hirakud,189.52,3.953,-0.12708549769669908,-0.12506536082601463,-0.080473166,-0.11491467955505348,0.0,0.0,0.0,0.0
2002-01-11,Hirakud,189.48,3.931,-0.10609405446831993,-0.12045335864026002,-0.080284341,-0.1026505153473551,0.0,0.0,0.0,0.0
2002-01-12,Hirakud,189.44,3.91,-0.12861975049216465,-0.12398148242971485,-0.085347587,-0.11673279698269994,0.0,0.0,0.0,0.0
2002-01-13,Hirakud,189.38,3.876,-0.1005983299974317,-0.10769269179286121,-0.068504581,-0.09402511266761819,0.0,0.0,0.0,0.0
2002-01-14,Hirakud,189.31,3.836,-0.12250941687728678,-0.11741900589911769,-0.088930944,-0.11296783413086003,0.0,0.0,0.0,0.0
2002-01-15,Hirakud,189.27,3.812,-0.11402788292038119,-0.1177408291099193,-0.070656479,-0.10389408165885052,0.0,0.0,0.0,0.0
2002-01-16,Hirakud,189.22,3.784,-0.11337850399149464,-0.11257981826351096,-0.0831614,-0.10559737942256439,0.0,0.0,0.0,0.0
2002-01-17,Hirakud,189.17,3.757,-0.12433490790337351,-0.1250078057946848,-0.082628477,-0.113973189016155,0.0,0.0,0.0,0.0
2002-01-18,Hirakud,189.1,3.712,-0.06925146880262023,-0.06643288420478131,-0.07194076829268292,-0.06932871224014751,0.0,0.0,0.0,0.0
2002-01-19,Hirakud,189.05,3.692,-0.13104894293920846,-0.12727971898418633,-0.090383484,-0.12000360248374536,0.0,0.0,0.0,0.0
2002-01-20,Hirakud,189.0,3.663,-0.08869426627020369,-0.10030227135287817,-0.063634999,-0.08485393977892798,0.0,0.0,0.0,0.0
2002-01-21,Hirakud,188.95,3.635,-0.12141721372130765,-0.10929131259268673,-0.089190751,-0.11071817096869616,0.0,0.0,0.0,0.0
2002-01-22,Hirakud,188.89,3.604,-0.003949559355894961,0.015537460666366546,-0.057532916,-0.013296910135232314,0.0,0.0,0.0,0.0
2002-01-23,Hirakud,188.84,3.575,-0.04227228304662281,-0.04138478932261361,-0.007638937,-0.03335988876001391,0.0,0.0,0.0,0.0
2002-01-24,Hirakud,188.81,3.557,-0.07800588180510862,-0.09807740451787166,0.005484888,-0.06124992107206074,0.0,0.0,0.0,0.0
2002-01-25,Hirakud,188.75,3.525,-0.11448694817415121,-0.11220801551516044,-0.089264148,-0.107648610462117,0.0,0.0,0.0,0.0
2002-01-26,Hirakud,188.7,3.494,-0.12691254385643141,-0.13036088549713662,-0.051498827,-0.10865160249414153,0.0,0.0,0.0,0.0
2002-01-27,Hirakud,188.62,3.456,-0.08263623744104137,-0.06453338626611474,-0.059267673,-0.07289569908816013,0.0,0.0,0.0,0.0
2002-01-28,Hirakud,188.61,3.445,-0.09594343695222382,-0.11584658201019846,-0.037481996,-0.08545599872644359,0.0,0.0,0.009581725,0.002413439646106341
2002-01-29,Hirakud,188.57,3.428,-0.022508742207574945,-0.06179560133041728,0.078911434,-0.005328081012336648,0.0,0.0,0.0,0.0
2002-01-30,Hirakud,188.54,3.406,-0.11853733103302042,-0.12095196413025103,-0.000424876,-0.08930135662570882,0.0,0.0,0.0,0.0
2002-01-31,Hirakud,188.5,3.388,-0.11290616165127489,-0.12218123930669805,-0.058907237,-0.10127980087007181,0.0,0.0,0.0,0.0
2002-02-01,Hirakud,188.44,3.354,-0.11864939292568828,-0.11891245635644476,-0.094638554,-0.11265756769347512,0.0,0.0,0.0,0.0
2002-02-02,Hirakud,188.4,3.328,-0.12442601110614511,-0.12954085470797866,-0.086466711,-0.11595390098576266,0.0,0.0,0.0,0.0
2002-02-03,Hirakud,188.35,3.3,-0.06331385928456469,-0.05965918898990739,-0.0668008942195122,-0.06341401568817402,0.0,0.0,0.0,0.0
2002-02-04,Hirakud,188.16,3.27,-0.1272397067751879,-0.13194042664001962,-0.09790908,-0.12085280652904022,0.0,0.0,0.0,0.0
2002-02-05,Hirakud,188.24,3.24,-0.09469247024738697,-0.09660652022961583,-0.10661053949999999,-0.0981019284368212,0.0,0.0,0.0,0.0
2002-02-06,Hirakud,188.18,3.208,-0.12428049464644991,-0.10844015772949364,-0.098068693,-0.11430554005689873,0.0,0.0,0.0,0.0
2002-02-07,Hirakud,188.13,3.181,-0.020166747196440366,0.051947147454218696,-0.066477186,-0.01647683274769825,0.0,0.0,0.0,0.0
2002-02-08,Hirakud,188.07,3.149,0.046697497694780335,0.07003947622921503,-0.065644237,0.023370920441243226,0.0,0.0,0.0,0.0
2002-02-09,Hirakud,187.99,3.107,-0.08677456009634893,-0.1164367993420396,-0.051931589,-0.08431404519810021,0.0,0.0,0.0,0.0
2002-02-10,Hirakud,187.92,3.065,-0.1199392962554377,-0.11080973686040249,-0.048554751,-0.10001512118897687,0.0,0.0,0.016337302,0.00411503068155394
2002-02-11,Hirakud,186.86,3.03,-0.1142947648818716,-0.1239506971861811,-0.088641884,-0.10988928203510244,0.0,0.0,0.0,0.0
2002-02-12,Hirakud,187.78,2.987,0.0043570182412918605,-0.0927026316777871,0.025647134,-0.010946476581447288,0.6178633533021469,0.0,0.0,0.3306801884271028
2002-02-13,Hirakud,187.73,2.958,-0.12290204945784453,-0.05654863355387251,-0.096916205,-0.10222871365364955,0.0,0.0,0.0,0.0
2002-02-14,Hirakud,187.66,2.921,-0.09093157440697433,-0.10684298680144377,-0.076013056,-0.09056177996578128,0.0,0.0,0.0,0.0
2002-02-15,Hirakud,187.57,2.874,-0.11517080294526215,-0.12054538209401108,-0.101015846,-0.11274982089698406,0.0,0.0,0.0,0.0
2002-02-16,Hirakud,187.51,2.84,-0.11778879544273138,-0.13032767944712204,-0.08207302,-0.1114625171773826,0.0,0.0,0.0,0.0
2002-02-17,Hirakud,187.47,2.818,-0.11100864407468675,-0.11698488825074027,-0.095611289,-0.10840283458394566,0.0,0.0,0.0,0.0
